Geographic code,Geographic name,Population centre size group,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016"
1190,Port McNeill,Small,British Columbia,F,2064,2186,T,-5.6,980,900,1.55,1333.7
210,Cranbrook,Small,British Columbia,F,19259,18761,T,2.7,8418,8179,14.74,1306.9
1144,Logan Lake,Small,British Columbia,F,1208,1245,T,-3,722,601,0.94,1284.2
568,Nanaimo,Medium,British Columbia,F,92004,85357,T,7.8,41562,39790,72.63,1266.7
529,Merritt,Small,British Columbia,F,5321,5447,T,-2.3,2432,2277,4.43,1201.7
119,Campbell River,Medium,British Columbia,F,35138,33448,T,5.1,15922,15267,30.72,1143.9
1175,Lumby,Small,British Columbia,F,1303,1277,T,2,624,563,1.14,1140.4
1257,Rossland,Small,British Columbia,F,3219,3134,T,2.7,1539,1377,2.86,1125
403,Kelowna,Large urban,British Columbia,F,151957,140131,T,8.4,67767,63946,136.44,1113.8
781,Squamish,Small,British Columbia,F,17587,15554,T,13.1,6756,6491,16.14,1089.6
280,Fernie,Small,British Columbia,F,4850,4156,T,16.7,2701,2053,4.46,1087.5
615,Osoyoos,Small,British Columbia,F,4520,4210,T,7.4,2855,2176,4.18,1081.8
626,Parksville,Small,British Columbia,F,23574,22493,T,4.8,11785,11278,21.84,1079.5
1325,Kent,Small,British Columbia,F,3802,3399,T,11.9,1633,1590,3.54,1073.6
243,Duncan,Small,British Columbia,F,23278,22539,T,3.3,10435,9975,21.74,1070.5
608,Oliver,Small,British Columbia,F,5279,5037,T,4.8,2458,2351,5,1056.2
736,Salmon Arm,Small,British Columbia,F,12875,12218,T,5.4,5669,5465,12.6,1021.7
411,Kimberley,Small,British Columbia,F,4513,4178,T,8,2153,2016,4.42,1020.4
1377,Harrison Hot Springs,Small,British Columbia,F,1242,1248,T,-0.5,796,609,1.24,1001.5
20,Armstrong,Small,British Columbia,F,5114,4830,F,5.9,2143,2132,5.22,979.8
161,Chase,Small,British Columbia,F,2263,2463,T,-8.1,1158,1078,2.33,969.5
